date,tavg,tmin,tmax,prcp,wspd,pres,tsun,city
1/1/2020,24.9,19.2,29.9,0,,1013.4,13800,Mumbai
2/1/2020,27.3,21,32.6,0,,1012.7,11220,Mumbai
3/1/2020,27.7,22.6,31.9,0,,1011.2,12900,Mumbai
4/1/2020,30.2,26.4,33.9,0,,1009.6,14220,Mumbai
5/1/2020,31.1,28.6,34,0,,1007.3,15960,Mumbai
6/1/2020,29.2,26,32.3,525,,1003.7,8340,Mumbai
7/1/2020,28.1,25.4,30.5,1501.9,,1003.2,4620,Mumbai
8/1/2020,27.6,25,29.6,826.5,,1003.3,2760,Mumbai
9/1/2020,28.4,25.3,31.4,320,,1005.6,7080,Mumbai
10/1/2020,29.2,25.6,32.7,224,,1007.3,7920,Mumbai
11/1/2020,28.7,23.1,33.9,0,,1011.8,12720,Mumbai
12/1/2020,26.6,20.8,32.3,25,,1012,11400,Mumbai
1/1/2021,25.9,20.5,30.9,1,,1011.1,11100,Mumbai
2/1/2021,27.3,21.4,32.9,0,,1012.1,11280,Mumbai
3/1/2021,29.7,23.9,35,0,,1010,13200,Mumbai
4/1/2021,30,26.2,33.6,0,,1009.1,13620,Mumbai
5/1/2021,30.7,27.8,33.8,154.4,,1005.5,12000,Mumbai
6/1/2021,28.6,25.5,31.5,317,,1005.3,6360,Mumbai
7/1/2021,28.6,25.7,30.8,773.9,,1003.8,4800,Mumbai
8/1/2021,27.8,25.1,30,295.1,,1006.3,5520,Mumbai
9/1/2021,27.7,24.8,30.1,436.9,,1005.1,5820,Mumbai
10/1/2021,29.4,25.2,33.5,31.8,,1008.6,13620,Mumbai
11/1/2021,29.5,25,34.1,50.1,,1009.2,12720,Mumbai
12/1/2021,25.8,21,30.6,103.3,,1013.3,10080,Mumbai
1/1/2022,24.5,19.3,29.3,9.6,,1012.9,11940,Mumbai
2/1/2022,25.3,19.3,30.5,0,,1011.3,14220,Mumbai
3/1/2022,30,24.7,34.9,0.1,,1008.9,9240,Mumbai
4/1/2022,30.6,26.8,34.5,0,,1008,12120,Mumbai
5/1/2022,30.9,28.8,34,7,,1005.7,13080,Mumbai
6/1/2022,29.3,26.6,32.9,298.3,,1004.4,7860,Mumbai
7/1/2022,27.8,25.3,29.8,1185.2,,1004,3060,Mumbai
8/1/2022,27.7,25.1,30.3,550.9,,1004.2,5160,Mumbai
9/1/2022,27.5,24.7,30.2,528.4,,1006.6,5700,Mumbai
10/1/2022,28.4,24.5,32.4,165.5,,1009.8,11700,Mumbai
11/1/2022,27.9,21.9,33.6,0,,1011.7,12180,Mumbai
12/1/2022,27.3,21.8,32.5,6.2,,1011.4,10680,Mumbai
1/1/2023,24.4,18.7,29.5,0,,1013.4,11520,Mumbai
2/1/2023,28.1,20.6,34.2,0,,1012.4,13980,Mumbai
3/1/2023,28.9,23.6,33.5,21,,1011.2,12120,Mumbai
4/1/2023,30,25.8,33.8,15.3,,1009,14220,Mumbai
5/1/2023,30.8,28.3,33.6,0.6,,1008.8,17220,Mumbai
6/1/2023,30.4,27.8,33.7,561.1,,1005.7,11460,Mumbai
7/1/2023,27.8,25.3,29.4,1768.9,,1004.7,1680,Mumbai
8/1/2023,28.6,26.3,30.8,187.3,,1007.9,7140,Mumbai
9/1/2023,28.2,25.2,31,483.8,,1006.6,6660,Mumbai
10/1/2023,30.2,25.8,34.5,13,,1011,10200,Mumbai
11/1/2023,29.4,24.3,34.4,7.1,,1011.7,11040,Mumbai
12/1/2023,27.9,22.8,32.9,0,,1012.3,10140,Mumbai
1/1/2024,26.3,19.9,31.3,1.1,,1013.2,12240,Mumbai
2/1/2024,27.1,20.6,32.6,0,,1013.5,14700,Mumbai
3/1/2024,28.3,23.2,32.8,0.1,,1011.9,14340,Mumbai
4/1/2024,30.7,26.6,34.7,0,,1008.2,14340,Mumbai
5/1/2024,31.1,28.6,34.2,1.4,,1005.9,,Mumbai
6/1/2024,29.7,27.2,33.2,351.3,,1004,6780,Mumbai
7/1/2024,27.5,25.3,29.8,1663.8,,1002.1,1020,Mumbai
8/1/2024,28.2,26.3,30.9,390.5,,1005.7,5700,Mumbai
9/1/2024,27.7,25.2,30.6,659.3,,1006.5,8040,Mumbai
10/1/2024,29.3,25.6,33.3,112,,1008.8,11040,Mumbai
11/1/2024,28.4,22.6,34.1,0.5,,1011.2,10560,Mumbai
12/1/2024,26.2,20.6,32,0,,1011.7,8040,Mumbai
1/1/2025,26.2,20,32.2,0,,1011.9,11100,Mumbai
2/1/2025,28,21.2,34,0,,1012.2,13560,Mumbai
3/1/2025,29.3,24.2,34.4,0,,1010,13680,Mumbai
4/1/2025,30.2,26.7,34.1,0,,1008.2,13800,Mumbai
5/1/2025,29.5,25.8,32.9,237,,1005,10140,Mumbai
6/1/2025,28.6,26.2,31.4,510.9,,1003.6,5460,Mumbai
7/1/2025,28.1,26,30,801.7,,1003.5,2760,Mumbai
8/1/2025,27.4,25.5,29.5,1098,,1005.7,4500,Mumbai
9/1/2025,27,25.4,29,480.7,,1007.2,4020,Mumbai
10/1/2025,29.1,26.3,32.8,170.2,,1008,10800,Mumbai
11/1/2025,27.8,24.3,32,9.2,,1012.5,11880,Mumbai
12/1/2025,27,22.8,32.1,0,,1012.9,11700,Mumbai
1/1/2020,13.7,8,19.5,48,,1017.3,9420,Delhi
2/1/2020,17,9.9,24.1,2,,1016.5,12120,Delhi
3/1/2020,21.6,15,28.2,109,,1012.2,12420,Delhi
4/1/2020,27.7,20.1,35.3,14,,1008.1,15420,Delhi
5/1/2020,31.9,24.4,39.5,21,,1002.6,16080,Delhi
